mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	TextLine	crescendo_hairpin	decrescendo_hairpin
28	28	83	83	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	217										
28	28	167/2	167/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	218										
28	28	81	81	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	219										
28	28	82	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	220										
28	28	83	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221										
29	29	84	84	0.0		0	0	Spanner	3/4	1	1	0													0	
29	29	169/2	169/2	1.0		1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	222							9		0	
29	29	171/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	223							9		0	
29	29	86	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	224							9		0	
29	29	173/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	225									0	
29	29	84	84	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	226										
29	29	85	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227										
29	29	86	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	228										
30	30	87	87	0.0		0	0	Dynamic	3/4	1	1	0					mf									
30	30	87	87	0.0		0	0	Spanner	3/4	1	1	0														
30	30	87	87	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	229							10			
30	30	177/2	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	230							10			
30	30	89	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	231							10			
30	30	179/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	232							10			
30	30	87	87	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	233										
30	30	88	88	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	234										
30	30	89	89	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235										
31	31	90	90	0.0		0	0	Spanner	3/4	1	1	0											10			1
31	31	90	90	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	236							10			1
31	31	183/2	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	237							10			1
31	31	92	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	238							10			1
31	31	185/2	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	239							10			1
31	31	90	90	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	240										
31	31	91	91	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	241										
31	31	92	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	242										
32	32	93	93	0.0		0	0	Spanner	3/4	1	1	0											10			
32	32	93	93	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	243							10			
32	32	95	95	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	244							10			
32	32	191/2	191/2	0.0		5/8	5/8	Spanner	3/4	1	1	0												2		
32	32	191/2	191/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	245								2		
32	32	93	93	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	246										
32	32	94	94	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	247										
32	32	95	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	248										
33	33	96	96	0.0		0	0	Dynamic	3/4	1	1	0					p							2		
33	33	96	96	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	249							11	2		
33	33	195/2	195/2	0.0		3/8	3/8	Spanner	3/4	1	1	0											11			
33	33	195/2	195/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	250							11			
33	33	98	98	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	251							11			
33	33	197/2	197/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	252							11			
33	33	96	96	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	253										
33	33	97	97	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	254										
33	33	98	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	255										
34	34	99	99	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	256							11			
34	34	101	101	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	257							11			
34	34	99	99	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	258										
34	34	201/2	201/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	259										
34	34	101	101	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	260										
34	34	203/2	203/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	261										
34	34	99	99	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	262										
34	34	100	100	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263										
34	34	101	101	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	264										
35	35	102	102	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	265							11			
35	35	102	102	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	266										
35	35	207/2	207/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	267										
35	35	104	104	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	268										
35	35	209/2	209/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	269										
35	35	102	102	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	270										
35	35	103	103	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	271										
35	35	104	104	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	272										
36	36	105	105	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	273										
36	36	105	105	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	274										
36	36	105	105	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	275										
36	36	106	106	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	276										
36	36	107	107	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	277										
37	37	108	108	0.16666666666666666		0	0	Chord	3/4	1	1	1/24		1/16	2/3	278							12			
37	37	649/6	649/6	0.16666666666666666		1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	279							12			
